,matchLink,matchId,teamA,teamB,kefA,kefb,win
188,https://www.hltv.org/matches/2322242/epg-vs-space-jam-starseries-i-league-season-5-cis-qualifier,2322242,7489,7017,1.5,2.48,0
189,https://www.hltv.org/matches/2322257/xpc-vs-bpro-streamme-gauntlet-cis-vs-eu-20,2322257,4982,6762,2.93,1.36,1
190,https://www.hltv.org/matches/2322258/tricked-vs-k0pfsache-legend-series-5,2322258,4602,8850,1.13,8.95,0
191,https://www.hltv.org/matches/2322277/sj-vs-epiphany-bolt-betspawn-cup-nordic-vs-cis,2322277,8504,6220,1.3,3.23,0
192,https://www.hltv.org/matches/2322282/alternate-attax-vs-singularity-esportsbettingcom-launch-invitational,2322282,4501,6978,2.02,1.73,0
193,https://www.hltv.org/matches/2319920/mousesports-vs-space-soldiers-esl-pro-league-season-7-europe,2319920,4494,5929,1.55,2.4,0
194,https://www.hltv.org/matches/2322229/g2-vs-astralis-ecs-season-5-europe,2322229,5995,6665,5.23,1.26,1
195,https://www.hltv.org/matches/2322283/ldlc-vs-alternate-attax-esportsbettingcom-launch-invitational,2322283,4674,4501,1.79,1.96,0
196,https://www.hltv.org/matches/2319921/space-soldiers-vs-mousesports-esl-pro-league-season-7-europe,2319921,5929,4494,2.81,1.68,1
197,https://www.hltv.org/matches/2322259/epg-vs-pompa-legend-series-5,2322259,7489,8209,1.87,2.36,1
198,https://www.hltv.org/matches/2322230/faze-vs-g2-ecs-season-5-europe,2322230,6667,5995,1.54,2.4,0
199,https://www.hltv.org/matches/2322284/singularity-vs-quantum-bellator-fire-esportsbettingcom-launch-invitational,2322284,6978,7367,2.09,1.68,0
200,https://www.hltv.org/matches/2319943/ago-vs-fnatic-esl-pro-league-season-7-europe,2319943,8068,4991,3.51,1.27,0
201,https://www.hltv.org/matches/2322231/g2-vs-faze-ecs-season-5-europe,2322231,5995,6667,2.3,1.58,0
202,https://www.hltv.org/matches/2319944/fnatic-vs-ago-esl-pro-league-season-7-europe,2319944,4991,8068,1.18,5.14,0
203,https://www.hltv.org/matches/2322288/c4-vs-luminosity-esl-one-belo-horizonte-south-america-closed-qualifier,2322288,8051,6290,3.7,1.25,0
204,https://www.hltv.org/matches/2322289/sharks-vs-isurus-esl-one-belo-horizonte-south-america-closed-qualifier,2322289,8113,7653,2.08,1.68,1
205,https://www.hltv.org/matches/2322301/liquid-vs-eunited-ecs-season-5-north-america,2322301,5973,7106,1.22,4.01,1
206,https://www.hltv.org/matches/2319592/rogue-vs-renegades-esl-pro-league-season-7-north-america,2319592,7157,6211,2.45,1.52,0
207,https://www.hltv.org/matches/2322302/eunited-vs-liquid-ecs-season-5-north-america,2322302,7106,5973,3.61,1.27,0
