,matchId,teamAId,teamBId,kefsA,kefsB
2595,2325294,8504,7865,2.78,1.41
2596,2325303,9013,9337,1.35,3.27
2597,2325349,9187,8748,1.21,3.62
2598,2325350,9306,9311,1.09,5.15
2599,2325351,5479,7640,1.01,8.36
2600,2325352,9003,9324,1.1,4.65
2601,2325353,7882,9319,2.15,1.62
2602,2325354,9332,9327,5.12,1.15
2603,2325355,8700,9309,1.01,8.06
2604,2325356,6947,9315,1.02,9.65
2605,2325284,7701,6615,1.8,1.99
2606,2325357,8999,6019,1.23,3.37
2607,2325358,9176,8635,3.0,1.36
2608,2325304,9059,7604,1.45,2.66
2609,2325281,8120,8589,1.17,4.76
2610,2325282,8120,9182,1.28,3.91
2611,2325285,8846,7823,1.46,2.61
2612,2325286,8823,9073,1.88,1.9
2613,2325359,8589,9182,2.87,1.42
2614,2325307,9013,9059,1.48,3.08
2615,2325296,4869,7865,1.1,6.13
2616,2325289,8846,7823,1.34,3.17
2617,2325308,9337,7604,1.48,2.63
2618,2325364,8825,8366,1.88,1.85
2619,2325413,8880,8635,1.44,2.46
2620,2325310,9337,7604,1.38,3.06
2621,2325429,9227,8700,2.25,1.54
2622,2325162,6673,6651,1.55,2.36
2623,2325435,7517,9275,1.11,5.83
2624,2325009,6010,5607,1.11,5.34
2625,2325384,9183,8135,1.75,2.02
2626,2325436,9275,7517,5.83,1.11
2627,2325418,9130,9223,2.49,1.51
2628,2325378,6855,7701,2.57,1.49
2629,2325432,9161,9003,1.19,4.41
2630,2325434,5670,8700,1.55,2.38
2631,2325419,9131,9222,1.68,2.16
2632,2325245,9166,6799,2.74,1.43
2633,2325417,8305,7898,2.85,1.4
2634,2325422,7552,7823,2.01,1.78
2635,2325423,8823,7124,1.97,1.81
2636,2325389,4501,8068,1.87,1.9
2637,2325390,8068,7865,1.62,2.25
2638,2325439,5479,9161,1.44,2.66
2639,2325391,7898,8113,1.61,2.28
2640,2325441,9223,9131,1.44,2.71
2641,2325445,8635,5670,4.6,1.16
2642,2325246,8121,8871,1.89,1.86
2643,2325424,8823,7823,1.51,2.51
2644,2325442,9222,9223,1.92,2.08
2645,2325446,9306,9161,1.65,2.14
2646,2325443,9131,9223,1.59,2.5
2647,2325448,5670,9161,1.22,3.89
2648,2325447,6799,8121,1.91,1.83
2649,2325451,8880,5670,3.05,1.35
2650,2325163,4863,6673,2.69,1.45
2651,2325452,7726,5670,1.39,2.6
2652,2325449,7820,8120,3.6,1.28
2653,2325392,4501,7865,1.6,2.14
2654,2325450,7820,8589,1.21,4.15
2655,2325393,7865,8113,1.73,2.11
2656,2325184,7367,8589,1.32,3.22
2657,2325264,9059,7830,7.96,1.06
2658,2325437,7516,8825,2.69,1.47
2659,2325212,9003,8084,1.41,2.84
2660,2325244,8751,8121,2.23,1.66
2661,2325438,8728,9203,1.19,4.36
2662,2325007,7517,6468,1.13,5.58
2663,2325081,9272,8738,1.61,2.25
2664,2325385,6343,7681,1.18,4.64
2665,2325386,7187,6762,1.37,3.01
2666,2325494,7820,7367,1.45,2.59
2667,2325283,8589,8305,3.26,1.31
2668,2325395,4501,7898,1.42,2.87
2669,2325453,8305,9182,1.59,2.4
2670,2325396,4501,8113,1.34,3.14
2671,2325454,8305,7367,1.84,1.93
2672,2325382,6343,8369,1.19,4.49
2673,2325398,8068,8113,1.3,3.38
2674,2325456,7820,7898,2.29,1.59
2675,2324228,8051,8728,2.81,1.41
2676,2324229,8574,8411,1.35,3.12
2677,2325211,6947,8999,1.08,7.46
2678,2325414,8825,8871,2.41,1.58
2679,2325360,5293,9307,1.14,5.27
2680,2325473,6010,9273,1.19,4.32
2681,2325490,5607,9272,1.39,2.9
2682,2325008,8008,8887,1.05,9.61
2683,2325387,8846,8369,1.61,2.25
2684,2325474,9273,6010,4.58,1.17
2685,2325491,9272,5607,2.31,2.48
2686,2325475,8008,8536,1.11,5.88
2687,2325492,6468,8826,1.25,3.91
2688,2325476,8536,8008,5.22,1.21
2689,2325493,8826,6468,4.98,1.19
2690,2325388,7234,7169,2.91,1.38
2691,2325394,8068,7898,1.49,2.55
2692,2325496,7820,9193,1.5,2.55
2693,2325397,7865,7898,1.74,2.03
2694,2325501,5153,8193,1.12,5.22
2695,2325528,9126,8366,5.35,1.07
2696,2325510,8668,7517,1.6,2.3
2697,2325511,7798,6503,6.37,1.09
2698,2325477,9297,9275,2.17,1.66
2699,2325486,8668,5293,1.22,4.38
2700,2325504,9272,9294,1.46,2.66
2701,2325478,9275,9297,1.79,2.01
2702,2325487,5293,8668,3.85,1.26
2703,2325512,9036,9107,1.56,2.31
2704,2325518,6343,8846,1.43,2.72
2705,2325480,8887,7517,6.17,1.11
2706,2325488,8833,6379,2.11,1.69
2707,2325482,7517,8887,1.1,6.39
2708,2325489,6379,8833,2.26,1.95
2709,2325513,7092,9094,1.14,4.98
2710,2325519,6762,7234,2.01,1.77
2711,2325524,7367,7898,3.73,1.27
2712,2325520,8846,8068,2.28,1.58
2713,2325525,8120,7367,1.18,4.51
2714,2325380,8211,9173,1.1,5.32
2715,2325455,8111,6569,1.51,2.43
2716,2325526,8120,7898,1.7,2.12
2717,2325521,7169,7865,2.39,1.54
2718,2325517,6134,4501,1.55,2.41
2719,2325331,9339,7504,2.85,1.4
2720,2325527,8825,8751,2.07,1.72
2721,2325502,6947,8084,1.07,7.79
2722,2325290,8051,7653,2.94,1.4
2723,2325503,9229,9277,1.61,2.28
2724,2325332,9340,9338,2.45,1.5
2725,2325514,8118,7660,5.49,1.1
2726,2325515,8840,9349,1.13,5.25
2727,2325535,8589,7367,2.91,1.39
2728,2325522,8769,4501,2.6,1.47
2729,2325531,6419,6420,2.92,1.49
2730,2325523,6343,7898,1.59,2.32
2731,2325532,6417,6420,1.71,2.19
2732,2325457,7830,8574,1.11,5.96
2733,2325529,6010,8887,1.05,8.35
2734,2325516,9352,7024,6.84,1.08
2735,2325498,6343,6693,1.1,6.06
2736,2325567,8852,8840,1.15,4.74
2737,2325497,4501,5347,1.11,6.19
2738,2325537,6762,8846,2.46,1.54
2739,2325548,7820,7898,3.16,1.34
2740,2325552,8120,9290,1.07,7.81
2741,2325553,9055,7912,1.64,2.21
2742,2325554,8589,8772,2.44,1.52
2743,2325555,8135,9299,1.33,3.21
2744,2325541,6947,9302,1.04,9.26
2745,2325542,9344,5422,9.91,1.03
2746,2325543,7801,9316,1.03,9.39
2747,2325544,8815,8297,5.44,1.12
2748,2325545,8880,9161,1.52,2.4
2749,2325550,8068,7865,1.56,2.35
2750,2325575,9356,7234,3.04,1.29
2751,2325540,5479,9227,1.87,1.9
2752,2325549,9287,7489,2.08,1.71
2753,2325585,6693,5347,1.44,2.86
2754,2325546,5005,9227,1.1,6.69
2755,2325560,9163,8751,3.65,1.32
2756,2325561,9213,9226,1.2,4.43
2757,2325601,7106,5005,2.35,1.73
2758,2325563,4865,6503,5.73,1.12
2759,2325564,9036,7092,5.08,1.15
2760,2325565,7660,8840,1.07,7.25
